pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
108.3475,-115.15,180.0,top,C1,,,C_0805_2012Metric,100uF,smt
108.68,-111.04,180.0,top,C2,,,C_0805_2012Metric,100uF,smt
135.01,-129.9,-90.0,top,C3,,,C_0805_2012Metric,100uF,smt
128.51,-129.98,-90.0,top,C4,,,C_0805_2012Metric,100uF,smt
128.57,-109.77,0.0,top,C5,,,C_1206_3216Metric,10uF,smt
136.45,-109.66,180.0,top,D1,,,D_SMA,SMAJ5.0A,smt
138.24,-117.06,0.0,top,D2,,,D_SMA,SMAJ5.0A,smt
108.4875,-127.34,0.0,top,F1,,1206 Bel Fuse,RESC3216X125N,0ZCJ0050FF2G,smt
90.675,-119.09,180.0,top,J1,,None,USB_A_Molex_48037-2200_Horizontal,480370001,smt
144.9775,-121.96,90.0,top,J2,,None,GCT_USB1125-GF-B_REVA,USB1125-GF-B_REVA,tht
108.1275,-119.87,0.0,top,R1,,,R_0805_2012Metric,24Ω,smt
108.1275,-122.99,0.0,top,R2,,,R_0805_2012Metric,24Ω,smt
137.15,-124.08,180.0,top,R3,,,R_0805_2012Metric,24Ω,smt
137.13,-120.72,180.0,top,R4,,,R_0805_2012Metric,24Ω,smt
129.39,-119.61,0.0,top,SW1,,None,SW_JS202011SCQN,JS202011SCQN,smt
116.791,-119.515,0.0,top,U1,ADUM4160BRWZ,SOIC-16,SOIC127P1032X265-16N,ADUM4160BRWZ,smt
119.0125,-109.4,0.0,top,U2,,SIP-4 Recom Power,CONV_RFM-0505S,RFM-0505S,tht
